id;lvl;asg;duration;stepcount;setcount;remcount;c1count;c2count;c3count;c4count;c5count;c6count;uniqcount;errcount;Kelompok
1;1;1;24;3;3;0;1;1;1;0;0;0;3;0;0
2;1;1;27;3;3;0;1;1;1;0;0;0;3;0;0
3;1;1;89;15;9;6;1;9;3;0;0;2;5;0;1
4;1;1;26;17;10;7;15;1;1;0;0;0;4;0;0
5;1;1;41;3;3;0;1;1;1;0;0;0;3;0;0
6;1;1;22;3;3;0;1;1;1;0;0;0;3;0;0
7;1;1;19;7;5;2;1;5;1;0;0;0;5;0;0
8;1;1;20;7;5;2;5;1;1;0;0;0;4;0;0
9;1;1;23;3;3;0;1;1;1;0;0;0;3;0;0
10;1;1;24;3;3;0;1;1;1;0;0;0;3;0;0
11;1;1;32;7;5;2;1;1;1;2;1;0;6;1;0
12;1;1;41;9;6;3;1;7;1;0;0;0;4;0;0
13;1;1;22;3;3;0;1;1;1;0;0;0;3;0;0
14;1;1;63;21;12;9;17;3;1;0;0;0;4;0;0
15;1;1;48;19;11;8;3;3;13;0;0;0;4;0;0
16;1;1;28;11;7;4;9;1;1;0;0;0;4;0;0
17;1;1;10;3;3;0;1;1;1;0;0;0;3;0;0
18;1;1;174;49;26;23;5;3;8;4;11;18;23;7;1
19;1;1;28;13;8;5;9;3;1;0;0;0;4;0;0
20;1;1;39;13;8;5;7;5;1;0;0;0;4;0;0
21;1;1;31;3;3;0;1;1;1;0;0;0;3;0;0
22;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
23;1;1;40;5;4;1;3;1;1;0;0;0;4;0;0
24;1;1;43;7;5;2;5;1;1;0;0;0;4;0;0
25;1;1;56;11;7;4;1;1;5;4;0;0;6;1;0
26;1;1;14;7;5;2;5;1;1;0;0;0;4;0;1
27;1;1;132;14;10;4;7;4;1;1;1;0;7;1;1
28;1;1;151;33;18;15;5;9;1;8;10;0;17;3;0
29;1;1;15;3;3;0;1;1;1;0;0;0;3;0;1
30;1;1;100;13;8;5;7;1;1;0;2;2;6;2;0
31;1;1;58;5;4;1;1;1;1;0;0;2;5;0;0
32;1;1;21;9;6;3;3;5;1;0;0;0;4;0;0
33;1;1;22;3;3;0;1;1;1;0;0;0;3;0;0
34;1;1;18;3;3;0;1;1;1;0;0;0;3;0;0
35;1;1;29;3;3;0;1;1;1;0;0;0;3;0;1
36;1;1;81;19;11;8;3;3;1;4;2;6;12;1;0
37;1;1;59;13;8;5;1;1;1;0;10;0;5;0;1
38;1;1;92;13;8;5;3;5;1;0;4;0;9;1;1
39;1;1;209;37;20;17;3;11;9;6;8;0;15;2;1
40;1;1;129;29;16;13;1;11;3;2;0;12;8;0;
