id;lvl;asg;duration;stepcount;setcount;remcount;c1count;c2count;c3count;c4count;c5count;c6count;uniqcount;errcount
1;1;2;26;3;3;0;1;1;1;0;0;0;3;0
2;1;2;75;24;15;9;10;11;3;0;0;0;10;0
3;1;2;44;5;4;1;3;1;1;0;0;0;4;0
4;1;2;15;3;3;0;1;1;1;0;0;0;3;0
5;1;2;14;3;3;0;1;1;1;0;0;0;3;0
6;1;2;16;7;5;2;5;1;1;0;0;0;4;0
7;1;2;21;5;4;1;1;3;1;0;0;0;3;0
8;1;2;36;7;5;2;1;3;1;0;0;2;6;1
9;1;2;68;7;5;2;1;3;1;0;2;0;5;1
10;1;2;143;13;8;5;3;3;3;0;0;4;10;1
11;1;2;15;3;3;0;1;1;1;0;0;0;3;0
12;1;2;10;3;3;0;1;1;1;0;0;0;3;0
13;1;2;21;3;3;0;1;1;1;0;0;0;3;0
14;1;2;19;9;6;3;1;7;1;0;0;0;3;0
15;1;2;21;7;5;2;5;1;1;0;0;0;4;0
16;1;2;14;3;3;0;1;1;1;0;0;0;3;0
17;1;2;21;3;3;0;1;1;1;0;0;0;3;0
18;1;2;13;3;3;0;1;1;1;0;0;0;3;0
19;1;2;16;3;3;0;1;1;1;0;0;0;3;0
20;1;2;48;11;7;4;1;9;1;0;0;0;4;0
21;1;2;12;3;3;0;1;1;1;0;0;0;3;0
23;1;2;43;7;5;2;1;1;1;0;4;0;5;1
24;1;2;17;3;3;0;1;1;1;0;0;0;3;0
25;1;2;18;5;4;1;1;3;1;0;0;0;3;0
26;1;2;18;3;3;0;1;1;1;0;0;0;3;0
27;1;2;19;17;10;7;15;1;1;0;0;0;5;0
28;1;2;33;7;5;2;1;1;1;0;4;0;6;0
29;1;2;8;3;3;0;1;1;1;0;0;0;3;0
30;1;2;219;54;29;25;9;8;7;10;8;12;33;10
31;1;2;56;7;5;2;1;1;5;0;0;0;4;0
32;1;2;34;7;5;2;3;1;3;0;0;0;3;0
33;1;2;19;3;3;0;1;1;1;0;0;0;3;0
34;1;2;24;8;6;2;2;5;1;0;0;0;7;0
35;1;2;17;3;3;0;1;1;1;0;0;0;3;0
36;1;2;25;3;3;0;1;1;1;0;0;0;3;0
37;1;2;27;3;3;0;1;1;1;0;0;0;3;0
38;1;2;37;3;3;0;1;1;1;0;0;0;3;0
39;1;2;36;3;3;0;1;1;1;0;0;0;3;0
40;1;2;30;11;7;4;1;9;1;0;0;0;4;0
